# index, s_values, normalised s_values, cumulative energy 
0,38.0161,1,      0.3567467331
1,36.564,0.961804,      0.6867614424
2,22.8621,0.60138,      0.8157819043
3,15.2535,0.401238,      0.8732152712
4,14.074,0.370211,      0.9221096316
5,5.51018,0.144943,      0.9296043862
6,5.14776,0.13541,       0.936145662
7,4.98803,0.131208,      0.9422872859
8,4.58843,0.120697,      0.9474842902
9,4.47574,0.117733,      0.9524291699
10,4.35546,0.114569,      0.9571118268
11,4.326,0.113794,      0.9617313585
12,3.92708,0.1033,      0.9655381969
13,3.61867,0.0951879,      0.9687705879
14,3.56951,0.0938947,      0.9719157465
15,3.35184,0.088169,      0.9746890163
16,3.10138,0.0815806,      0.9770633083
17,3.01681,0.0793562,      0.9793098902
18,2.96244,0.0779259,      0.9814762182
19,2.41794,0.063603,      0.9829193797
20,2.40565,0.0632798,      0.9843479115
21,2.36546,0.0622227,      0.9857291167
22,2.30087,0.0605236,      0.9870359182
23,2.05516,0.0540602,      0.9880785124
24,1.99319,0.0524303,      0.9890591865
25,1.7425,0.0458358,      0.9898086843
26,1.69646,0.0446248,      0.9905190984
27,1.58612,0.0417223,      0.9911401057
28,1.50424,0.0395686,      0.9916986551
29,1.4463,0.0380443,      0.9922149999
30,1.40427,0.0369389,      0.9927017747
31,1.34328,0.0353346,      0.9931471852
32,1.23397,0.0324592,       0.993523054
33,1.18787,0.0312465,      0.9938713616
34,1.18542,0.0311821,      0.9942182345
35,1.12812,0.0296747,      0.9945323819
36,1.08734,0.0286021,      0.9948242293
37,1.07831,0.0283647,      0.9951112513
38,1.02941,0.0270782,      0.9953728275
39,0.984982,0.0259096,      0.9956123144
40,0.928201,0.024416,      0.9958249858
41,0.909145,0.0239147,      0.9960290146
42,0.889621,0.0234012,      0.9962243746
43,0.874877,0.0230133,      0.9964133125
44,0.852938,0.0224362,      0.9965928935
45,0.811555,0.0213477,      0.9967554713
46,0.798642,0.021008,      0.9969129165
47,0.768152,0.020206,      0.9970585695
48,0.734821,0.0193292,      0.9971918567
49,0.726532,0.0191112,      0.9973221536
50,0.691403,0.0181871,      0.9974401551
51,0.665053,0.017494,      0.9975493338
52,0.639636,0.0168254,      0.9976503268
53,0.618296,0.0162641,      0.9977446935
54,0.611056,0.0160736,      0.9978368631
55,0.585571,0.0154033,      0.9979215049
56,0.580278,0.015264,      0.9980046232
57,0.566016,0.0148889,      0.9980837061
58,0.561774,0.0147773,      0.9981616082
59,0.541441,0.0142424,      0.9982339731
60,0.515358,0.0135563,      0.9982995336
61,0.512029,0.0134687,        0.99836425
62,0.503325,0.0132398,       0.998426785
63,0.486101,0.0127867,      0.9984851132
64,0.483102,0.0127078,       0.998542724
65,0.477091,0.0125497,      0.9985989098
66,0.471889,0.0124129,      0.9986538772
67,0.443376,0.0116629,      0.9987024026
68,0.438888,0.0115448,      0.9987499507
69,0.432268,0.0113707,      0.9987960752
70,0.419751,0.0110414,      0.9988395671
71,0.415297,0.0109242,      0.9988821409
72,0.402469,0.0105868,      0.9989221253
73,0.39145,0.010297,      0.9989599502
74,0.388117,0.0102093,      0.9989971338
75,0.37083,0.00975455,      0.9990310787
76,0.363988,0.00957458,      0.9990637826
77,0.357685,0.00940878,      0.9990953636
78,0.349976,0.009206,      0.9991255981
79,0.345919,0.00909929,      0.9991551357
80,0.335767,0.00883223,      0.9991829648
81,0.326949,0.00860027,      0.9992093515
82,0.320314,0.00842575,      0.9992346781
83,0.315982,0.00831179,      0.9992593242
84,0.306173,0.00805378,       0.999282464
85,0.299495,0.00787812,      0.9993046054
86,0.291303,0.00766261,       0.999325552
87,0.28634,0.00753209,      0.9993457911
88,0.283601,0.00746004,      0.9993656448
89,0.276611,0.00727617,       0.999384532
90,0.273778,0.00720164,      0.9994030341
91,0.270943,0.00712705,       0.999421155
92,0.266134,0.00700057,      0.9994386385
93,0.263513,0.00693161,      0.9994557792
94,0.258082,0.00678875,      0.9994722206
95,0.254952,0.00670641,      0.9994882657
96,0.248897,0.00654714,      0.9995035576
97,0.240529,0.00632702,      0.9995178386
98,0.240095,0.00631561,      0.9995320681
99,0.227975,0.00599682,      0.9995448974
100,0.224647,0.00590926,      0.9995573548
101,0.22329,0.00587357,      0.9995696621
102,0.221024,0.00581396,      0.9995817209
103,0.213664,0.00562035,      0.9995929899
104,0.20878,0.00549187,      0.9996037496
105,0.206372,0.00542854,      0.9996142626
106,0.2029,0.00533722,      0.9996244249
107,0.200229,0.00526695,      0.9996343213
108,0.195071,0.00513128,      0.9996437145
109,0.189683,0.00498956,      0.9996525959
110,0.188416,0.00495621,      0.9996613591
111,0.186669,0.00491027,      0.9996699605
112,0.185564,0.00488119,      0.9996784604
113,0.182577,0.00480262,      0.9996866888
114,0.180681,0.00475275,      0.9996947472
115,0.177547,0.00467032,      0.9997025285
116,0.176564,0.00464447,      0.9997102239
117,0.175827,0.00462507,      0.9997178552
118,0.173105,0.00455346,      0.9997252519
119,0.166572,0.00438161,       0.999732101
120,0.164773,0.00433429,      0.9997388028
121,0.162822,0.00428298,       0.999745347
122,0.16083,0.00423057,      0.9997517319
123,0.156627,0.00412001,      0.9997577875
124,0.156133,0.00410704,       0.999763805
125,0.154941,0.00407567,       0.999769731
126,0.153882,0.00404781,      0.9997755762
127,0.151586,0.00398741,      0.9997812483
128,0.148909,0.00391701,      0.9997867218
129,0.147519,0.00388044,      0.9997920936
130,0.142324,0.00374378,      0.9997970938
131,0.140012,0.00368298,      0.9998019328
132,0.138047,0.00363128,      0.9998066369
133,0.135913,0.00357514,      0.9998111967
134,0.132749,0.00349193,      0.9998155467
135,0.130432,0.00343096,      0.9998197462
136,0.12788,0.00336385,      0.9998237829
137,0.127311,0.00334887,      0.9998277838
138,0.125231,0.00329415,       0.999831655
139,0.122811,0.00323049,      0.9998353781
140,0.121479,0.00319547,      0.9998390208
141,0.120078,0.00315862,        0.99984258
142,0.117314,0.00308589,      0.9998459773
143,0.116827,0.00307309,      0.9998493463
144,0.115645,0.00304201,      0.9998526476
145,0.113324,0.00298094,      0.9998558177
146,0.111827,0.00294157,      0.9998589045
147,0.110707,0.00291211,      0.9998619299
148,0.107863,0.0028373,      0.9998648018
149,0.107081,0.00281673,      0.9998676322
150,0.104196,0.00274083,      0.9998703121
151,0.103052,0.00271074,      0.9998729335
152,0.102137,0.00268667,      0.9998755086
153,0.100502,0.00264367,      0.9998780019
154,0.0997261,0.00262326,      0.9998804569
155,0.0978564,0.00257408,      0.9998828206
156,0.0967847,0.00254589,      0.9998851329
157,0.0958544,0.00252142,      0.9998874009
158,0.0952929,0.00250665,      0.9998896425
159,0.0940521,0.00247401,       0.999891826
160,0.0937347,0.00246566,      0.9998939948
161,0.0914842,0.00240646,      0.9998960608
162,0.0911117,0.00239666,      0.9998981099
163,0.0900594,0.00236898,       0.999900112
164,0.0884455,0.00232653,       0.999902043
165,0.0878112,0.00230984,      0.9999039464
166,0.0873804,0.00229851,      0.9999058311
167,0.0866385,0.00227899,       0.999907684
168,0.0855575,0.00225056,      0.9999094909
169,0.0847783,0.00223006,      0.9999112651
170,0.0839858,0.00220922,      0.9999130063
171,0.0829297,0.00218144,      0.9999147039
172,0.0806187,0.00212065,      0.9999163082
173,0.0795167,0.00209166,       0.999917869
174,0.0788078,0.00207301,      0.9999194021
175,0.0772099,0.00203098,      0.9999208736
176,0.0766875,0.00201724,      0.9999223253
177,0.0760101,0.00199942,      0.9999237515
178,0.0746168,0.00196277,      0.9999251258
179,0.0736545,0.00193746,       0.999926465
180,0.0731822,0.00192503,       0.999927787
181,0.0723432,0.00190296,      0.9999290789
182,0.0721966,0.00189911,      0.9999303655
183,0.0705822,0.00185664,      0.9999315952
184,0.0699528,0.00184008,      0.9999328032
185,0.0690107,0.0018153,      0.9999339788
186,0.0683084,0.00179683,      0.9999351305
187,0.0679468,0.00178732,      0.9999362702
188,0.0674274,0.00177366,      0.9999373924
189,0.0670569,0.00176391,      0.9999385024
190,0.065897,0.0017334,      0.9999395743
191,0.0655583,0.00172449,      0.9999406352
192,0.0642155,0.00168917,      0.9999416531
193,0.0635186,0.00167084,      0.9999426491
194,0.0632296,0.00166323,       0.999943636
195,0.0625217,0.00164461,      0.9999446009
196,0.0617905,0.00162538,      0.9999455433
197,0.0609298,0.00160274,      0.9999464597
198,0.0607018,0.00159674,      0.9999473693
199,0.0600344,0.00157918,       0.999948259
200,0.0594174,0.00156296,      0.9999491304
201,0.0580914,0.00152807,      0.9999499634
202,0.0578279,0.00152114,      0.9999507889
203,0.0575223,0.0015131,      0.9999516057
204,0.0570703,0.00150121,      0.9999524096
205,0.0566663,0.00149059,      0.9999532023
206,0.0554525,0.00145866,      0.9999539613
207,0.0547308,0.00143967,      0.9999547007
208,0.0542143,0.00142609,      0.9999554263
209,0.0540805,0.00142257,      0.9999561482
210,0.0533751,0.00140401,      0.9999568515
211,0.0525962,0.00138353,      0.9999575343
212,0.0522368,0.00137407,      0.9999582079
213,0.0519998,0.00136784,      0.9999588753
214,0.0516713,0.0013592,      0.9999595344
215,0.0509885,0.00134123,      0.9999601762
216,0.0502346,0.0013214,      0.9999607991
217,0.0496833,0.0013069,      0.9999614084
218,0.0492978,0.00129676,      0.9999620083
219,0.0488861,0.00128593,      0.9999625982
220,0.0481971,0.00126781,      0.9999631716
221,0.0479205,0.00126053,      0.9999637385
222,0.0471614,0.00124056,      0.9999642875
223,0.0466147,0.00122618,      0.9999648239
224,0.0465378,0.00122416,      0.9999653585
225,0.0461448,0.00121382,      0.9999658841
226,0.0457003,0.00120213,      0.9999663997
227,0.0453411,0.00119268,      0.9999669071
228,0.0445245,0.0011712,      0.9999673965
229,0.0442931,0.00116511,      0.9999678808
230,0.0438502,0.00115346,      0.9999683554
231,0.0435173,0.00114471,      0.9999688229
232,0.0432075,0.00113656,      0.9999692837
233,0.0429263,0.00112916,      0.9999697386
234,0.042225,0.00111071,      0.9999701787
235,0.0420115,0.0011051,      0.9999706144
236,0.0414889,0.00109135,      0.9999710393
237,0.0414009,0.00108904,      0.9999714624
238,0.0412118,0.00108406,      0.9999718816
239,0.0407416,0.00107169,      0.9999722913
240,0.0403308,0.00106089,      0.9999726929
241,0.0402027,0.00105752,      0.9999730918
242,0.0399323,0.00105041,      0.9999734854
243,0.0396396,0.00104271,      0.9999738733
244,0.0390657,0.00102761,        0.99997425
245,0.0386809,0.00101749,      0.9999746194
246,0.0385338,0.00101362,      0.9999749859
247,0.0382737,0.00100678,      0.9999753475
248,0.0380694,0.0010014,      0.9999757052
249,0.0379169,0.000997392,      0.9999760601
250,0.0375059,0.000986579,      0.9999764074
251,0.0370787,0.000975343,      0.9999767467
252,0.0369635,0.000972312,       0.999977084
253,0.0364876,0.000959794,      0.9999774126
254,0.0360142,0.000947342,      0.9999777328
255,0.0358034,0.000941797,      0.9999780492
256,0.0354642,0.000932874,      0.9999783597
257,0.0351604,0.000924882,      0.9999786648
258,0.0351432,0.000924429,      0.9999789697
259,0.0348326,0.00091626,      0.9999792692
260,0.0347561,0.000914246,      0.9999795674
261,0.0343651,0.000903963,      0.9999798589
262,0.0342827,0.000901795,       0.999980149
263,0.0335919,0.000883622,      0.9999804276
264,0.0331726,0.000872594,      0.9999806992
265,0.0329575,0.000866937,      0.9999809673
266,0.0327034,0.000860251,      0.9999812313
267,0.0325975,0.000857466,      0.9999814936
268,0.0324852,0.000854512,      0.9999817541
269,0.0320287,0.000842505,      0.9999820074
270,0.0319145,0.0008395,      0.9999822588
271,0.03143,0.000826757,      0.9999825026
272,0.0313478,0.000824594,      0.9999827452
273,0.0312207,0.000821251,      0.9999829858
274,0.0309927,0.000815253,      0.9999832229
275,0.0309178,0.000813283,      0.9999834589
276,0.0304239,0.000800291,      0.9999836874
277,0.0302765,0.000796412,      0.9999839136
278,0.0301077,0.000791974,      0.9999841374
279,0.0300853,0.000791383,      0.9999843608
280,0.02963,0.000779406,      0.9999845775
281,0.029444,0.000774514,      0.9999847915
282,0.0292428,0.000769222,      0.9999850026
283,0.0289189,0.000760703,      0.9999852091
284,0.0285525,0.000751065,      0.9999854103
285,0.0282371,0.000742767,      0.9999856071
286,0.0280236,0.00073715,       0.999985801
287,0.0277333,0.000729515,      0.9999859908
288,0.0277043,0.000728752,      0.9999861803
289,0.0275389,0.000724401,      0.9999863675
290,0.027246,0.000716696,      0.9999865507
291,0.0271096,0.00071311,      0.9999867321
292,0.0268168,0.000705406,      0.9999869097
293,0.0266266,0.000700404,      0.9999870847
294,0.0262345,0.000690089,      0.9999872546
295,0.026031,0.000684736,      0.9999874218
296,0.025804,0.000678766,      0.9999875862
297,0.0257654,0.00067775,      0.9999877501
298,0.0256295,0.000674174,      0.9999879122
299,0.0255148,0.000671159,      0.9999880729
300,0.0252347,0.000663791,      0.9999882301
301,0.0251525,0.000661628,      0.9999883863
302,0.0245547,0.000645903,      0.9999885351
303,0.024517,0.000644912,      0.9999886835
304,0.024284,0.000638782,       0.999988829
305,0.0242332,0.000637446,       0.999988974
306,0.0240855,0.00063356,      0.9999891172
307,0.0238417,0.000627147,      0.9999892575
308,0.0237312,0.00062424,      0.9999893965
309,0.0234885,0.000617858,      0.9999895327
310,0.023443,0.000616659,      0.9999896684
311,0.0233258,0.000613576,      0.9999898027
312,0.023023,0.000605613,      0.9999899335
313,0.0229564,0.00060386,      0.9999900636
314,0.0226646,0.000596183,      0.9999901904
315,0.0225632,0.000593517,      0.9999903161
316,0.0222473,0.000585208,      0.9999904382
317,0.0220647,0.000580404,      0.9999905584
318,0.0219656,0.000577798,      0.9999906775
319,0.0216222,0.000568764,      0.9999907929
320,0.0215951,0.000568053,       0.999990908
321,0.0214889,0.000565258,       0.999991022
322,0.0214061,0.000563079,      0.9999911351
323,0.0212758,0.000559653,      0.9999912469
324,0.0209955,0.000552278,      0.9999913557
325,0.0207774,0.000546543,      0.9999914623
326,0.0206856,0.000544128,      0.9999915679
327,0.0205286,0.000539999,      0.9999916719
328,0.0204372,0.000537593,       0.999991775
329,0.0203029,0.00053406,      0.9999918768
330,0.0201616,0.000530345,      0.9999919771
331,0.0200698,0.000527929,      0.9999920765
332,0.0200076,0.000526294,      0.9999921753
333,0.0198889,0.00052317,       0.999992273
334,0.0196775,0.00051761,      0.9999923686
335,0.0194874,0.00051261,      0.9999924623
336,0.0193847,0.000509909,      0.9999925551
337,0.0192368,0.000506018,      0.9999926464
338,0.0191556,0.000503881,       0.999992737
339,0.0191352,0.000503346,      0.9999928274
340,0.0188915,0.000496935,      0.9999929155
341,0.0187061,0.000492057,      0.9999930018
342,0.0185405,0.000487703,      0.9999930867
343,0.0184114,0.000484306,      0.9999931704
344,0.0183037,0.000481471,      0.9999932531
345,0.018206,0.000478902,      0.9999933349
346,0.0179668,0.00047261,      0.9999934146
347,0.017929,0.000471617,      0.9999934939
348,0.0178652,0.000469937,      0.9999935727
349,0.0176859,0.000465221,      0.9999936499
350,0.0176058,0.000463114,      0.9999937264
351,0.0174385,0.000458714,      0.9999938015
352,0.0173014,0.000455108,      0.9999938754
353,0.0171674,0.000451581,      0.9999939481
354,0.0171203,0.000450342,      0.9999940205
355,0.0170674,0.000448952,      0.9999940924
356,0.0169049,0.000444678,      0.9999941629
357,0.0167879,0.000441601,      0.9999942325
358,0.0167617,0.000440912,      0.9999943019
359,0.0165452,0.000435215,      0.9999943694
360,0.0162998,0.000428762,       0.999994435
361,0.0162601,0.000427717,      0.9999945003
362,0.016219,0.000426634,      0.9999945652
363,0.0161506,0.000424836,      0.9999946296
364,0.015894,0.000418085,       0.999994692
365,0.0158355,0.000416548,      0.9999947539
366,0.0157217,0.000413555,      0.9999948149
367,0.0156058,0.000410506,       0.999994875
368,0.0155696,0.000409554,      0.9999949348
369,0.0155099,0.000407982,      0.9999949942
370,0.0153583,0.000403995,      0.9999950524
371,0.0153393,0.000403496,      0.9999951105
372,0.0151303,0.000397998,       0.999995167
373,0.0150744,0.000396526,      0.9999952231
374,0.0149761,0.000393942,      0.9999952785
375,0.014906,0.000392098,      0.9999953333
376,0.0147946,0.000389166,      0.9999953874
377,0.0147426,0.000387799,       0.999995441
378,0.0146981,0.00038663,      0.9999954943
379,0.0144811,0.00038092,      0.9999955461
380,0.0144099,0.000379048,      0.9999955974
381,0.014348,0.000377419,      0.9999956482
382,0.0141668,0.000372653,      0.9999956977
383,0.0140432,0.000369402,      0.9999957464
384,0.0140115,0.000368568,      0.9999957949
385,0.0139797,0.000367732,      0.9999958431
386,0.0138978,0.000365576,      0.9999958908
387,0.013822,0.000363582,      0.9999959379
388,0.0136774,0.00035978,      0.9999959841
389,0.0136162,0.000358171,      0.9999960299
