# index, s_values, normalised s_values, cumulative energy 
0,170.978,1,      0.8921475714
1,40.3762,0.236149,      0.9418993092
2,39.5284,0.23119,      0.9895836983
3,5.39844,0.0315739,      0.9904730928
4,5.28227,0.0308945,      0.9913246207
5,5.09296,0.0297873,       0.992116207
6,4.98075,0.029131,      0.9928732952
7,4.80741,0.0281172,       0.993578604
8,4.5183,0.0264262,      0.9942016311
9,4.44503,0.0259977,      0.9948046161
10,4.39604,0.0257112,      0.9953943824
11,3.81641,0.0223211,      0.9958388774
12,3.52731,0.0206302,      0.9962185809
13,3.47671,0.0203343,      0.9965874679
14,3.11096,0.0181951,      0.9968828238
15,2.97483,0.0173989,      0.9971528969
16,2.78567,0.0162926,      0.9973897161
17,2.65468,0.0155265,      0.9976047872
18,2.54914,0.0149092,      0.9978030977
19,2.32886,0.0136208,      0.9979686147
20,2.219,0.0129783,       0.998118884
21,2.14945,0.0125715,      0.9982598821
22,2.1285,0.012449,      0.9983981446
23,2.0595,0.0120454,      0.9985275886
24,1.83547,0.0107351,      0.9986304021
25,1.69128,0.00989182,       0.998717697
26,1.68178,0.00983626,      0.9988040141
27,1.58931,0.00929544,      0.9988811003
28,1.40711,0.00822981,      0.9989415252
29,1.37222,0.00802574,      0.9989989907
30,1.34547,0.00786929,      0.9990542376
31,1.28773,0.00753158,      0.9991048443
32,1.25544,0.00734273,      0.9991529451
33,1.23131,0.00720159,      0.9991992144
34,1.21993,0.00713503,      0.9992446324
35,1.21673,0.00711632,      0.9992898126
36,1.16958,0.00684052,      0.9993315585
37,1.16044,0.00678711,      0.9993726551
38,1.15003,0.00672617,      0.9994130171
39,1.05638,0.00617845,      0.9994470733
40,1.04351,0.00610319,      0.9994803048
41,0.999599,0.00584637,      0.9995107985
42,0.988211,0.00577977,      0.9995406013
43,0.969727,0.00567166,      0.9995692996
44,0.957567,0.00560054,      0.9995972827
45,0.954844,0.00558461,      0.9996251069
46,0.939723,0.00549617,      0.9996520568
47,0.923905,0.00540366,      0.9996781071
48,0.890012,0.00520542,      0.9997022811
49,0.823404,0.00481586,      0.9997229722
