# index, s_values, normalised s_values, cumulative energy 
0,40.3763,1,      0.4612871061
1,39.5284,0.979001,      0.9034040502
2,5.39846,0.133704,      0.9116503171
3,5.28229,0.130826,      0.9195455039
4,5.09304,0.126139,      0.9268850987
5,4.98085,0.123361,      0.9339049164
6,4.80969,0.119122,      0.9404505733
7,4.51918,0.111927,      0.9462293671
8,4.44532,0.110097,      0.9518208186
9,4.39661,0.108891,      0.9572903931
10,3.81708,0.0945376,      0.9614130844
11,3.52768,0.0873701,       0.964934333
12,3.47677,0.0861093,      0.9683546889
13,3.11177,0.0770693,       0.971094588
14,2.97488,0.0736789,      0.9735987213
15,2.78601,0.0690012,      0.9757949846
16,2.65469,0.0657486,      0.9777890729
17,2.54915,0.0631348,      0.9796277623
18,2.32933,0.0576906,      0.9811630186
19,2.21904,0.0549591,      0.9825563353
20,2.14952,0.0532371,      0.9838637085
21,2.12864,0.0527201,      0.9851458116
22,2.05984,0.0510161,      0.9863463747
23,1.83551,0.04546,      0.9872996749
24,1.6913,0.0418884,      0.9881090662
25,1.68181,0.0416534,      0.9889094019
26,1.58978,0.039374,      0.9896245416
27,1.40745,0.0348582,      0.9901850491
28,1.37233,0.0339885,      0.9907179374
29,1.34556,0.0333255,      0.9912302377
30,1.28774,0.0318934,      0.9916994527
31,1.25585,0.0311037,      0.9921457208
32,1.23134,0.0304967,       0.992574739
33,1.22005,0.030217,      0.9929959258
34,1.21683,0.0301373,      0.9934148943
35,1.16958,0.0289669,      0.9938019523
36,1.16045,0.0287409,      0.9941829938
37,1.15003,0.0284828,      0.9945572219
38,1.05638,0.0261634,      0.9948729841
39,1.04365,0.025848,      0.9951811782
40,0.999686,0.0247592,      0.9954639558
41,0.988388,0.0244794,      0.9957403781
42,0.969739,0.0240175,      0.9960064678
43,0.957588,0.0237166,       0.996265931
44,0.954846,0.0236487,      0.9965239104
45,0.939794,0.0232759,      0.9967738201
46,0.923906,0.0228824,      0.9970153514
47,0.890155,0.0220465,      0.9972395584
48,0.823424,0.0203937,        0.99743141
49,0.784402,0.0194273,      0.9976055086
50,0.762752,0.0188911,      0.9977701293
51,0.706067,0.0174872,      0.9979111914
52,0.688163,0.0170437,        0.99804519
53,0.65359,0.0161875,      0.9981660631
54,0.637618,0.0157919,      0.9982811004
55,0.635113,0.0157299,      0.9983952359
56,0.557046,0.0137964,      0.9984830371
57,0.529215,0.0131071,      0.9985622841
58,0.523139,0.0129566,      0.9986397219
59,0.502898,0.0124553,      0.9987112833
60,0.464437,0.0115027,      0.9987723173
61,0.454629,0.0112598,      0.9988308006
62,0.437581,0.0108376,      0.9988849802
63,0.430163,0.0106538,      0.9989373382
64,0.420031,0.0104029,       0.998987259
65,0.414721,0.0102714,      0.9990359256
66,0.410468,0.0101661,      0.9990835991
67,0.399539,0.00989537,      0.9991287676
68,0.388488,0.00962168,       0.999171472
69,0.375137,0.00929102,      0.9992112917
70,0.371127,0.00919169,      0.9992502646
71,0.365349,0.00904859,      0.9992880334
72,0.350893,0.00869056,      0.9993228725
73,0.33421,0.00827739,      0.9993544777
74,0.326703,0.00809145,      0.9993846788
75,0.31969,0.00791777,      0.9994135974
76,0.30771,0.00762104,      0.9994403891
77,0.299449,0.00741645,      0.9994657617
