# index, s_values, normalised s_values, cumulative energy 
0,94.5385,1,      0.7894344538
1,34.5135,0.365074,      0.8946492867
2,30.5757,0.32342,      0.9772247717
3,6.96235,0.0736457,      0.9815064216
4,5.91322,0.0625483,      0.9845949202
5,5.46066,0.0577613,      0.9872287634
6,5.30333,0.056097,      0.9897130155
7,4.35982,0.0461169,      0.9913919568
8,3.44939,0.0364867,      0.9924429119
9,3.12954,0.0331033,      0.9933079992
10,2.7865,0.0294748,      0.9939938299
11,2.62981,0.0278173,      0.9946046963
12,2.13051,0.0225359,      0.9950056254
13,2.06319,0.0218238,       0.995381616
14,1.99694,0.021123,      0.9957338471
15,1.96315,0.0207656,      0.9960742587
16,1.86048,0.0196796,      0.9963799948
17,1.7726,0.01875,       0.996657531
18,1.67761,0.0177453,      0.9969061197
19,1.6355,0.0172999,      0.9971423855
20,1.57014,0.0166085,      0.9973601444
21,1.45629,0.0154042,      0.9975474678
22,1.40018,0.0148107,       0.997720636
23,1.31616,0.013922,      0.9978736451
24,1.28613,0.0136043,      0.9980197522
25,1.25265,0.0132502,      0.9981583506
26,1.18404,0.0125244,      0.9982821824
27,1.12233,0.0118716,      0.9983934417
28,1.05354,0.0111441,      0.9984914815
29,1.04376,0.0110406,      0.9985877097
30,1.02568,0.0108493,       0.998680632
31,0.986064,0.0104303,      0.9987665154
32,0.951295,0.0100625,      0.9988464491
33,0.908308,0.00960782,      0.9989193219
34,0.889358,0.00940737,      0.9989891858
35,0.856386,0.0090586,      0.9990539655
36,0.794677,0.00840586,      0.9991097457
37,0.749359,0.0079265,      0.9991593454
38,0.731253,0.00773498,      0.9992065773
39,0.684595,0.00724144,       0.999247974
40,0.679659,0.00718923,       0.999288776
41,0.654006,0.00691788,      0.9993265561
42,0.603732,0.0063861,       0.999358751
43,0.59597,0.00630399,      0.9993901233
44,0.574735,0.00607938,      0.9994192999
45,0.544732,0.00576202,      0.9994455098
46,0.529386,0.00559968,      0.9994702637
47,0.517985,0.0054791,      0.9994939629
48,0.509106,0.00538517,      0.9995168565
49,0.485475,0.00513521,      0.9995376742
50,0.473624,0.00500986,      0.9995574879
51,0.46543,0.00492318,       0.999576622
52,0.461594,0.0048826,       0.999595442
53,0.457713,0.00484155,      0.9996139468
54,0.442581,0.00468149,      0.9996312483
55,0.439401,0.00464785,      0.9996483021
56,0.428668,0.00453432,       0.999664533
57,0.422617,0.00447031,      0.9996803088
58,0.413527,0.00437417,      0.9996954134
59,0.395446,0.00418291,      0.9997092259
60,0.385175,0.00407427,      0.9997223302
61,0.37127,0.00392719,      0.9997345055
62,0.36171,0.00382606,      0.9997460618
63,0.350881,0.00371151,      0.9997569365
64,0.347406,0.00367476,      0.9997675969
65,0.342689,0.00362487,      0.9997779698
66,0.334665,0.00353998,      0.9997878626
67,0.333758,0.0035304,      0.9997977019
68,0.324832,0.00343598,      0.9998070219
69,0.319377,0.00337828,      0.9998160315
70,0.313221,0.00331316,      0.9998246971
71,0.297473,0.00314658,      0.9998325133
72,0.288456,0.00305121,      0.9998398629
73,0.280567,0.00296776,      0.9998468159
74,0.271628,0.0028732,      0.9998533329
75,0.267675,0.00283139,      0.9998596616
76,0.263286,0.00278496,      0.9998657845
77,0.252723,0.00267323,      0.9998714259
78,0.244438,0.00258559,      0.9998767035
79,0.240408,0.00254296,      0.9998818085
80,0.235534,0.00249141,      0.9998867086
81,0.228837,0.00242057,       0.999891334
82,0.219985,0.00232694,      0.9998956085
83,0.217456,0.00230019,      0.9998997853
84,0.204771,0.00216601,       0.999903489
85,0.200767,0.00212366,      0.9999070493
86,0.198711,0.0021019,       0.999910537
87,0.19523,0.00206509,      0.9999139036
88,0.19018,0.00201167,      0.9999170983
89,0.189006,0.00199925,      0.9999202537
90,0.18721,0.00198025,      0.9999233494
91,0.182521,0.00193066,      0.9999262919
92,0.181509,0.00191995,       0.999929202
93,0.178115,0.00188405,      0.9999320042
94,0.172153,0.00182099,      0.9999346219
95,0.167403,0.00177074,      0.9999370972
96,0.165082,0.00174619,      0.9999395044
97,0.162103,0.00171468,      0.9999418254
98,0.158793,0.00167966,      0.9999440526
99,0.155419,0.00164397,      0.9999461862
